name,nba_player_id
Charles Bassey,1629646
Day'Ron Sharpe,1630549
Isaiah Jackson,1630543
Jeremy Sochan,1631110
Keifer Sykes,1626208
Kessler Edwards,1630556
Dominique Wilkins,1122
Clyde Drexler,17
Mark Price,899
James Worthy,1460
Chris Mullin,904
Terry Porter,345
Dennis Johnson,77141
Fat Lever,
Alex English,76673
Jack Sikma,78149
Mitch Richmond,782
Detlef Schrempf,96
Tim Hardaway,896
Glen Rice,779
Shawn Kemp,431
Dan Majerle,105
Horace Grant,270
Hersey Hawkins,765
Kenny Anderson,72
Shane Battier,2203
James Posey,1899
Steve Blake,2581
Jared Jeffries,2407
Marcus Zegarowski,
Nic Claxton,1629651
Eduardo Nájera,2059
Rafer Alston,1747
Bo Outlaw,448
Desmond Mason,2046
Chris Duhon,2768
CJ Miles,101139
Jodie Meeks,201975
Dorell Wright,2748
Cam Thomas,1630560
Trendon Watford,1630570
Walker Kessler,1631117
Cade Cunningham,1630595
Chris Duarte,1630537
David Duke Jr.,1630561
Duane Washington Jr.,1630613
E.J. Liddell,1630604
Jamal Cain,1631288
Jericho Sims,1630579
Joe Wieskamp,1630580
Luka Garza,1630568
Justin Anderson,1626147
Lance Stephenson,202362
Leandro Bolmaro,1630195
McKinley Wright IV,1630593
Orlando Robinson,1631115
Quentin Grimes,1629656
Terry Taylor,1630678
Filip Petrusev,1630196
Greg Brown III,1630535
Kennedy Chandler,1631113
Miles McBride,1630540
Nikola Jovic,1631107
Dyson Daniels,1630700
Keon Johnson,1630553
Latrell Sprewell,84
Joshua Primo,1630563
Kenneth Lofton Jr.,1631254
Haywood Highsmith,1629312
Ziaire Williams,1630533
